"id";"name";"link";"visited"
53;"Altiq Gym Fitness 2 Wellness";"http://www.justdial.com/Delhi/Altiq-Gym-Fitness-2-Wellness-<near>-Above-Sagar-Ratna-Kalkaji/011PXX11-XX11-130307222050-D7F6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
54;"Fibre Fitness Gym And Spa";"http://www.justdial.com/Delhi/Fibre-Fitness-Gym-And-Spa-<near>-Near-Aurobindo-Marg-And-Aurobindo-Palace-Market-Hauz-Khas/011P1239951386U3S9H1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
55;"Kingsfit Unisex Health Studio";"http://www.justdial.com/Delhi/Kingsfit-Unisex-Health-Studio-<near>-Near-Biknarwala-On-GT-Karnal-Road-And-Opposite-To-Invitation-Banquet-Gujranwala-Town-2/011PXX11-XX11-131205185018-A1S6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
56;"Fitness Freaks";"http://www.justdial.com/Delhi/Fitness-Freaks-<near>-Near-C4e-Market-Janakpuri/011PXX11-XX11-100315182725-I3E1_BZDET?xid=RGVsaGkgR3ltcw==";"1"
57;"Sweat Zone Fitness Gym";"http://www.justdial.com/Delhi/Sweat-Zone-Fitness-Gym-<near>-Near-Metro-Pillar-Number-222-Tri-Nagar/011PXX11-XX11-130610153633-S6G8_BZDET?xid=RGVsaGkgR3ltcw==";"1"
58;"Ultimate Fitness Academy Pv...";"http://www.justdial.com/Delhi/Ultimate-Fitness-Academy-Pvt-Ltd-<near>-Near-SBI-Bank-Indirapuram/011PXX11-XX11-130831193416-U6B5_BZDET?xid=RGVsaGkgR3ltcw==";"1"
59;"Iron Blast Gym And Dance";"http://www.justdial.com/Delhi/Iron-Blast-Gym-And-Dance-<near>-Opposite-South-Park-Appartment-Kalkaji/011PXX11-XX11-150114151600-Z5E6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
60;"Torso Fitness";"http://www.justdial.com/Delhi/Torso-Fitness-<near>-Near-Yes-Bank-Kapashera/011PXX11-XX11-150618191913-N5Y2_BZDET?xid=RGVsaGkgR3ltcw==";"1"
63;"The Revolution Gym Spa Fitn...";"http://www.justdial.com/Delhi/The-Revolution-Gym-Spa-Fitness-Lounge-<near>-Near-Reliance-Fresh-Dilshad-Garden/011PXX11-XX11-131230150624-V3G5_BZDET?xid=RGVsaGkgR3ltcw==";"1"
64;"Ozone Fitness N Spa";"http://www.justdial.com/Delhi/Ozone-Fitness-N-Spa-<near>-Punjabi-Bagh/011PXX11-XX11-130622141459-H3X3_BZDET?xid=RGVsaGkgR3ltcw==";"1"
65;"Moksh Marg Gym & Spa";"http://www.justdial.com/Delhi/Moksh-Marg-Gym-Spa-<near>-Near-Dwarka-Mor-Metro-Station-Uttam-Nagar/011PXX11-XX11-130108115528-Z6B4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
66;"The Guru Gym";"http://www.justdial.com/Delhi/The-Guru-Gym-<near>-Huda-Market-Scf-Near-Kaushik-Bakery-Satya-Palace-Cinema-Faridabad-Sector-7/011PXX11-XX11-130831191450-I8R6_BZDET?xid=RGVsaGkgR3ltcw==";"1"
67;"Fit life";"http://www.justdial.com/Delhi/Fit-life-<near>-NR-PNB-BANK-Shastri-Nagar-(N)/011PXX11-XX11-150728184028-N7Y7_BZDET?xid=RGVsaGkgR3ltcw==";"1"
68;"Fitness World";"http://www.justdial.com/Delhi/Fitness-World-<near>-Near-Desu-Office-Karol-Bagh/011PXX11-XX11-140107124653-X4X4_BZDET?xid=RGVsaGkgR3ltcw==";"1"
69;"Jovenus Fitness Pvt Ltd";"http://www.justdial.com/Delhi/Jovenus-Fitness-Pvt-Ltd-<near>-Behind-Super-Mart-2-Dlf-City-Phase-Iv-Gurgaon/011PAPP20081111IRO42N44399_BZDET?xid=RGVsaGkgR3ltcw==";"1"
